Unnamed: 0,Species,NCBI Taxon ID,Order,Family,Genus,envelope,circular,double_stranded,rna,segmented,positive_sense,negative_sense,size,gc,genes,budding,lysis,release_other,cytoplasm,CE_clathrin,CE_receptor,CE_glycoproteins,CE_other
1851,Avian rotavirus turkey/Minnesota/B1009/2008,639247,Reovirales,Sedoreoviridae,Rotavirus,False,False,True,True,True,False,False,,,,True,False,False,True,False,False,True,False
1852,Avian rotavirus turkey/Minnesota/B1010/2008,639248,Reovirales,Sedoreoviridae,Rotavirus,False,False,True,True,True,False,False,,,,True,False,False,True,False,False,True,False
1853,Avian rotavirus turkey/Minnesota/B1012/2008,639249,Reovirales,Sedoreoviridae,Rotavirus,False,False,True,True,True,False,False,,,,True,False,False,True,False,False,True,False
1854,Avian rotavirus turkey/Minnesota/B1013/2008,639250,Reovirales,Sedoreoviridae,Rotavirus,False,False,True,True,True,False,False,,,,True,False,False,True,False,False,True,False
1855,Avian rotavirus turkey/Minnesota/B1014/2008,639251,Reovirales,Sedoreoviridae,Rotavirus,False,False,True,True,True,False,False,,,,True,False,False,True,False,False,True,False
1856,Avian rotavirus turkey/Minnesota/B1015/2008,639252,Reovirales,Sedoreoviridae,Rotavirus,False,False,True,True,True,False,False,,,,True,False,False,True,False,False,True,False
1857,Avian rotavirus turkey/Minnesota/B1016/2008,639253,Reovirales,Sedoreoviridae,Rotavirus,False,False,True,True,True,False,False,,,,True,False,False,True,False,False,True,False
1858,Avian rotavirus turkey/Minnesota/B1017/2008,639254,Reovirales,Sedoreoviridae,Rotavirus,False,False,True,True,True,False,False,,,,True,False,False,True,False,False,True,False
1859,Avian rotavirus turkey/Minnesota/B1019/2008,639255,Reovirales,Sedoreoviridae,Rotavirus,False,False,True,True,True,False,False,,,,True,False,False,True,False,False,True,False
1860,Avian rotavirus turkey/Minnesota/B1020/2008,639256,Reovirales,Sedoreoviridae,Rotavirus,False,False,True,True,True,False,False,,,,True,False,False,True,False,False,True,False
1861,Avian rotavirus turkey/Minnesota/B1021/2008,639257,Reovirales,Sedoreoviridae,Rotavirus,False,False,True,True,True,False,False,,,,True,False,False,True,False,False,True,False
1862,Avian rotavirus turkey/Minnesota/B1023/2008,639258,Reovirales,Sedoreoviridae,Rotavirus,False,False,True,True,True,False,False,,,,True,False,False,True,False,False,True,False
1863,Avian rotavirus turkey/Minnesota/B2004/2008,639259,Reovirales,Sedoreoviridae,Rotavirus,False,False,True,True,True,False,False,,,,True,False,False,True,False,False,True,False
1864,Avian rotavirus turkey/Minnesota/B2031/2008,639260,Reovirales,Sedoreoviridae,Rotavirus,False,False,True,True,True,False,False,,,,True,False,False,True,False,False,True,False
1865,Avian rotavirus turkey/Minnesota/B2032/2008,639261,Reovirales,Sedoreoviridae,Rotavirus,False,False,True,True,True,False,False,,,,True,False,False,True,False,False,True,False
1866,Avian rotavirus turkey/Minnesota/B2036/2008,639262,Reovirales,Sedoreoviridae,Rotavirus,False,False,True,True,True,False,False,,,,True,False,False,True,False,False,True,False
1867,Avian rotavirus turkey/Minnesota/B2039/2008,639263,Reovirales,Sedoreoviridae,Rotavirus,False,False,True,True,True,False,False,,,,True,False,False,True,False,False,True,False
1868,Avian rotavirus turkey/Minnesota/B3003/2008,639264,Reovirales,Sedoreoviridae,Rotavirus,False,False,True,True,True,False,False,,,,True,False,False,True,False,False,True,False
1869,Avian rotavirus turkey/Minnesota/B3004/2008,639265,Reovirales,Sedoreoviridae,Rotavirus,False,False,True,True,True,False,False,,,,True,False,False,True,False,False,True,False
1870,Avian rotavirus turkey/Minnesota/B3005/2008,639266,Reovirales,Sedoreoviridae,Rotavirus,False,False,True,True,True,False,False,,,,True,False,False,True,False,False,True,False
